Intent,Query,Responses
Acad_Teo_IED_L7_relación entre leyes y resolución judicial,What is the thought of the author  Voltaire ?,El tipo de Estado y el justificar las decisiones es la relación entre leyes y resolución judicial. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L7_silogismo jurídico,"During the time of ancient thought, who were the main beneficiaries of the common good?",Un silogismo jurídico es el resultado de la ley y el caso. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L7_sistema y filosofía del derecho internacional privado de Goldschmidt,What is the main characteristic of the Greek Polis?,El sistema y filosofía del derecho internacional privado de Goldschmidt implica la remisión de otro ordenamiento jurídico. Dá click aqui para más informacion relacionada.
Acad_Teo_IED_L7_tópico central en la teoría general del derecho,What does the study of political science focus on?,El tópico central en la teoría general del derecho es la interpretación normativa. Dá click aqui para más informacion relacionada.
Acad_Teo_TCP_ características del Estado moderno,Why is it argued that political science is an observational study?,"Unity, Constitutional Structure and Self-limitation. Click here for more related information."
Acad_Teo_TCP_ generar ciencia política,What is Citizenship?,Comparative method. Click here for more related information.
Acad_Teo_TCP_Absolutismo,What are the classifications that may exist of public policies?,It is the unit that was territorial by uniting the administrative power and organizing the same structural regime for the political community. Click here for more related information.
Acad_Teo_TCP_anarquismo,"According to Lowi's classification, what are regulatory policies?",Absence of authority. Click here for more related information.
Acad_Teo_TCP_análisis institucional,How do communitarians classify existing communities?,I study the formation of government institutions and the documents that constitute it. Click here for more related information.
Acad_Teo_TCP_autor Voltaire,"According to  Dworkin , what should be done in a complicated case to solve?","I don't agree with what you say, but I would fight for you to say it. Click here for more related information."
Acad_Teo_TCP_beneficiarios del bien común,What is a confederation of states?,Los titulares del poder. Click here for more related information.
Acad_Teo_TCP_característica principal de la Polis griega,What is a conflict?,It was an omnipotent organization. Click here for more related information.
Acad_Teo_TCP_centra el estudio de la ciencia política, How is the bourgeoisie also known?,"Knowledge, approaches, perspectives. Click here for more related information."
Acad_Teo_TCP_ciencia política es un estudio observacional,What is the socialist revolution?,His scientific contribution is based on the historical behavior of the human being. Click here for more related information.
Acad_Teo_TCP_Ciudadanía,"What is the main factor that constitutes a free state, according to the Greeks?",It is the capacity that man can develop his political condition as an essential member of an organization. Click here for more related information.
Acad_Teo_TCP_clasificaciones que pueden existir de políticas públicas,Which of the following arguments was considered for the construction of political theory?,"Political approach, normative approach, from the social sciences. Click here for more related information."
Acad_Teo_TCP_clasificación de Lowi,What are the  four  models of citizenship that contemporary political theory makes possible?,They are those that control the activities of the agents of a certain sector or market. Click here for more related information.
Acad_Teo_TCP_clasifican los comunitaristas a las comunidades que existen,On what is the creation of a public policy based?,Of place and geographic space. Click here for more related information.
Acad_Teo_TCP_complicado para resolver,"Under the feminist analysis, who is the main source in charge of the development of morality?",A judge must dispense justice through legal integrity. Click here for more related information.
Acad_Teo_TCP_confederación de Estados,What are the factors for the optimal development of an electoral process?,Union of States that cede part of their power to a central power. Click here for more related information.
Acad_Teo_TCP_conflicto,What is discrimination?,"A process that begins when one party perceives that another has negatively affected or about to negatively affect negative, any of your interests. Functional and dysfunctional. Functional and dysfunctional. Click here for more related information."
Acad_Teo_TCP_conoce también a la burguesía,What is Dworkin's most significant contribution to the development of politics?,Third State. Click here for more related information.
Acad_Teo_TCP_consiste la revolución socialista,What are the principles that allow the exercise of democracy?,Its objective is to build a new society in which the means of production are socially owned. Click here for more related information.
Acad_Teo_TCP_constituye un Estado libre,What is the author of the political work The Spirit of the Laws?,A sovereignty in law. Click here for more related information.
Acad_Teo_TCP_construcción de la teoría política,"During the Middle Ages, who was in charge of monitoring the development of the State?",It will facilitate the organization of society. Click here for more related information.
Acad_Teo_TCP_contemporánea posibilita,Who are those in charge of the administration of the government?,The model of liberal citizenship. The model of libertarian citizenship. The republican citizenship model. The community citizenship model. Click here for more related information.
Acad_Teo_TCP_creación de una política pública,What does the Marxist approach study?,The legal norms. Click here for more related information.
Acad_Teo_TCP_desarrollo de la moral,What is the political approach?,The family. Click here for more related information.
Acad_Teo_TCP_desarrollo óptimo de un proceso electoral,¿Qué elementos preceden al Estado  para  que pueda constituirse?,"Legitimidad, transparencia y efectividad. Da clic aquí para más información relacionada"
